,count,mean,std,min,25%,50%,75%,max,median,skew,kurtosis
ear,4001.0,0.2447513521671195,0.07028800989857469,0.0917225633585137,0.1973899548621604,0.2459487033913954,0.3047205711995168,0.6,0.2459487033913954,-0.040395352733691846,-0.18807308714929238
mar,4001.0,0.38111263776711307,0.11913703953856572,0.1759342840047605,0.2931494306420985,0.3510038759078288,0.4391309521867025,0.9127833344763188,0.3510038759078288,1.0572535298247576,0.6259225267145987
blink_duration,4001.0,0.38941437739402307,0.2935413084742305,0.0827619797979278,0.196780662291463,0.2877672362237768,0.4611952886800975,3.917636102695848,0.2877672362237768,3.286783095366098,26.139686460840288
blink_rate,4001.0,18.338181743812726,8.150349484142872,1.0,12.615163290394394,17.576296464924752,24.63823295677537,41.51193618210259,17.576296464924752,0.13017669937455337,-0.6840727359111645
yawn_freq,4001.0,0.22785795394849342,0.2087286964316739,0.0,0.0637439014071286,0.1572125716380231,0.3422662135182641,0.8525829316876943,0.1572125716380231,0.990430640123367,-0.19258677951026648
eye_closure_dur,4001.0,0.47801055889072186,0.5936856980179714,0.0215729903301078,0.0918506061463552,0.2061598212071117,0.5665904714363843,2.834436585306751,0.2061598212071117,1.8099187572964166,2.1671537351283794
face_angle,4001.0,15.409745073508004,12.297385831031928,0.3263892728634796,5.16495840437663,10.608343766292704,24.16923731107652,58.46209459912112,10.608343766292704,0.8821160503782295,-0.3140230943348641
head_pitch,4001.0,11.383832009167355,10.808684225844784,-7.22091322857111,2.8601348039086663,7.632190192917779,18.74225303800723,51.97399417887425,7.632190192917779,0.9050533362997984,-0.015231852163488213
head_yaw,4001.0,5.466344110338155,6.947476157907944,-11.767200754855027,0.48879183897645,3.970291913644455,9.782570434372431,30.12131288660685,3.970291913644455,0.7269622207506368,0.13537271692460084
head_roll,4001.0,5.013577784889882,6.0814743892094345,-6.659007595016258,0.5312390044592088,3.3343243093088484,8.602116184286485,29.18206005550685,3.3343243093088484,0.9419572635879371,0.3550897742057395
perclos,4001.0,0.2925611685337203,0.2800897902205781,0.0,0.0507808299350551,0.18609701691049813,0.4560625241055763,1.0,0.18609701691049813,0.9741860059648394,-0.2118433450562751
ear_velocity,4001.0,-0.043430154320691625,0.12245261371768262,-0.5754983322689053,-0.1236075559350317,-0.0343621546382564,0.0199829604948452,0.4928585570522762,-0.0343621546382564,0.23369357941800686,0.9005341753264449
ear_acceleration,4001.0,-0.024709198431537693,0.29929530538269633,-1.2745466662428635,-0.1716455047797659,-0.0225243425322774,0.0922127078353761,1.4794925343249326,-0.0225243425322774,0.29125933117284986,2.726765699432848
fatigue_score,4001.0,48.13728212423178,33.07147312695025,0.0,14.107099136489587,42.09060297028937,77.37036847993589,100.0,42.09060297028937,0.25114841991775727,-1.3895937319528262
