Model,Accuracy (%),Precision (%),Recall (%),Macro F1 (%),ROC AUC,Latency (ms),Throughput (FPS),Size (KB)
Bayesian Logistic,100.0,100.0,100.0,100.0,1.0,0.0007,1355329.9,1.9
SVM (Linear),100.0,100.0,100.0,100.0,1.0,0.0112,89616.9,13.0
Stacking Ensemble,100.0,100.0,100.0,100.0,1.0,0.1785,5601.8,330.4
Random Forest,100.0,100.0,100.0,100.0,1.0,0.1024,9767.9,480.8
SVM (RBF),99.88,99.91,99.79,99.85,1.0,0.0488,20509.4,28.2
Decision Tree,99.13,99.21,99.2,99.2,0.9999,0.0009,1053160.3,4.6
AdaBoost,97.63,97.81,98.19,97.93,0.9973,0.033,30279.1,29.1
HMM (Viterbi),96.5,96.75,96.69,96.71,1.0,0.034,29413.5,1.5
