Model,Accuracy (%),Precision (%),Recall (%),Macro F1 (%),ROC AUC,Latency (ms),Throughput (FPS),Size (KB)
Bayesian Logistic,100.0,100.0,100.0,100.0,1.0,0.0003,3376612.4,1.9
SVM (Linear),100.0,100.0,100.0,100.0,1.0,0.0036,276655.3,11.2
SVM (RBF),100.0,100.0,100.0,100.0,1.0,0.0146,68636.8,21.4
Random Forest,100.0,100.0,100.0,100.0,1.0,0.0429,23290.4,414.9
Stacking Ensemble,100.0,100.0,100.0,100.0,1.0,0.0795,12576.7,277.7
Decision Tree,99.25,99.37,99.25,99.3,0.9958,0.0003,3527701.9,4.6
AdaBoost,99.13,99.15,99.26,99.19,0.9998,0.0151,66125.4,29.1
HMM (Viterbi),96.0,96.22,96.15,96.16,1.0,0.0162,61730.1,1.4
